Country,City,Month,Day,Year,AvgTemperature
Malawi,Lilongwe,11,4,1995,74.6
Malawi,Lilongwe,11,5,1995,82.8
Malawi,Lilongwe,11,6,1995,74.8
Malawi,Lilongwe,11,7,1995,71.3
Malawi,Lilongwe,11,8,1995,72.9
Malawi,Lilongwe,11,9,1995,74.4
Malawi,Lilongwe,11,10,1995,77.2
Malawi,Lilongwe,11,11,1995,77.7
Malawi,Lilongwe,11,12,1995,76.9
Malawi,Lilongwe,11,13,1995,75.7
Malawi,Lilongwe,11,14,1995,76.1
Malawi,Lilongwe,11,15,1995,75.5
Malawi,Lilongwe,11,16,1995,73.6
Malawi,Lilongwe,11,17,1995,77.3
Malawi,Lilongwe,11,18,1995,74.5
Malawi,Lilongwe,11,19,1995,77.7
Malawi,Lilongwe,11,20,1995,75.2
Malawi,Lilongwe,11,21,1995,75
Malawi,Lilongwe,11,22,1995,75.2
Malawi,Lilongwe,11,23,1995,76.7
Malawi,Lilongwe,11,24,1995,79.3
Malawi,Lilongwe,11,25,1995,81
Malawi,Lilongwe,11,26,1995,-99
Malawi,Lilongwe,11,27,1995,71.9
Malawi,Lilongwe,11,28,1995,70.8
Malawi,Lilongwe,11,29,1995,75.1
Malawi,Lilongwe,11,30,1995,78.1
Malawi,Lilongwe,12,1,1995,78.4
Malawi,Lilongwe,12,2,1995,74.1
Malawi,Lilongwe,12,3,1995,71
Malawi,Lilongwe,12,4,1995,71.2
Malawi,Lilongwe,12,5,1995,70.5
Malawi,Lilongwe,12,6,1995,71
Malawi,Lilongwe,12,7,1995,77.5
Malawi,Lilongwe,12,8,1995,67.3
Malawi,Lilongwe,12,9,1995,65.1
Malawi,Lilongwe,12,10,1995,67.9
Malawi,Lilongwe,12,11,1995,66.6
Malawi,Lilongwe,12,12,1995,64
Malawi,Lilongwe,12,13,1995,67.1
Malawi,Lilongwe,12,14,1995,-99
Malawi,Lilongwe,12,15,1995,71.9
Malawi,Lilongwe,12,16,1995,77.3
Malawi,Lilongwe,12,17,1995,75.3
Malawi,Lilongwe,12,18,1995,74.9
Malawi,Lilongwe,12,19,1995,70.2
Malawi,Lilongwe,12,20,1995,69.9
Malawi,Lilongwe,12,21,1995,-99
Malawi,Lilongwe,12,22,1995,-99
Malawi,Lilongwe,12,23,1995,-99
Malawi,Lilongwe,12,24,1995,-99
Malawi,Lilongwe,12,25,1995,-99
Malawi,Lilongwe,12,26,1995,-99
Malawi,Lilongwe,12,27,1995,-99
Malawi,Lilongwe,12,28,1995,-99
Malawi,Lilongwe,12,29,1995,-99
Malawi,Lilongwe,12,30,1995,-99
Malawi,Lilongwe,12,31,1995,-99
Malawi,Lilongwe,1,1,1996,-99
Malawi,Lilongwe,1,2,1996,-99
Malawi,Lilongwe,1,3,1996,-99
Malawi,Lilongwe,1,4,1996,-99
Malawi,Lilongwe,1,5,1996,-99
Malawi,Lilongwe,1,6,1996,-99
